Date,A32,AAA,AAM,AAS,AAT,AAV,ABB,ABC,ABI,ABR,ABS,ABT,ACB,ACC,ACE,ACG,ACL,ACM,ACS,ACV,ADC,ADG,ADP,ADS,AFX,AG1,AGE,AGF,AGG,AGM,AGP,AGR,AGX,AIC,ALT,ALV,AMC,AMD,AME,AMP,AMS,AMV,ANT,ANV,APC,APF,APG,APH,API,APL,APP,APS,APT,ARM,ART,ASA,ASG,ASM,ASP,AST,ATA,ATB,ATG,ATS,AUM,AVC,AVF,B82,BAB,BAF,BAL,BAX,BBC,BBH,BBM,BBS,BBT,BCA,BCB,BCC,BCE,BCF,BCG,BCM,BCP,BCV,BDB,BDG,BDT,BDW,BED,BEL,BFC,BGW,BHA,BHC,BHG,BHK,BHN,BHP
2022-12-23,-0.25429143034983864,-2.0727784698970275,0.38124999621490047,-0.8545483031166494,-1.991214884689245,-1.1110307576646854,-1.544375893453082,-1.7856543066322434,-0.6430545540896623,-1.8967209071500997,-1.2627899657995645,0.2460618941293251,-0.9324392148988427,-1.753896150613622,0.6043291920743704,-1.8486870628015817,-1.320456221038472,-0.8818454479667681,0.9275716155510212,0.8861989515571504,-0.28242825260604076,-1.5062141691684827,-1.4625383447708837,-0.8959303213392874,0.12326529252918722,-1.447050886491461,-0.6874347888552339,-1.5552479729562254,-0.8770704314934478,-1.0502711417116566,0.9540625322948998,-0.4843724035309416,0.343665279371469,-1.7510396343572707,-0.03345509870398072,-0.37208849439027386,0.3811339329570458,-1.5068935472243952,0.8142020531819623,-0.47335455664120335,-1.3107697328763344,-2.0362942244618014,-1.0735953118974204,-0.5592060876286794,-1.858025084918547,0.8982082982972104,-0.9756934875012584,-1.4332253237195345,-0.8300156252326867,1.2825188986466083,-0.7112127538577827,-0.3788967619748759,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.1239602151585393,-0.8992645070358254,-0.9085281090548964,-0.184492247474829,-0.23727210690653752,-0.5405954357076211,0.7289357461065398,-2.071405721803413,0.0,1.4174724602688589,-0.3909616964401983,-0.5685747781257485,-1.7310334771379827,-1.3196740060138832,-1.3425005603939162,0.5265029466217163,-0.45169324564946434,-0.48186336085775555,-2.086449358924471,-0.6386822492291873,-2.1062084062745683,-1.672652397614431,-1.5312414433679158,-0.7055988149079944,-1.2754009966723143,-0.7294485582997184,-0.998910530926699,1.2909042161345141,-2.455000114811568,0.0,-0.7816203377154374,-1.8906896431958884,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.5643250382146427,-0.8294523414764856,1.787792432781142,-1.0491828540629782,1.120118629541377,0.10154346258442397,-1.522305180680974,-0.4392260518633089
2022-12-22,-0.25429143034983864,-2.0570879674643114,0.0789407942842938,-0.8065446211982323,-1.9727667171236747,-1.0705691555353578,-1.5046937638480653,-1.958567978970385,-0.6590023839911227,-1.8967209071500997,-1.25087021513281,0.2460618941293251,-0.9324392148988427,-1.7823952200717579,0.6043291920743704,-1.833823552973916,-1.290813585777191,-0.7952199280880705,0.9275716155510212,0.8016663115298339,-0.28242825260604076,-1.4195598414596822,-1.6631027416272839,-0.9057554617596141,0.12326529252918722,-1.447050886491461,-0.6874347888552339,-1.5552479729562254,-0.9001403765522099,-1.0652709333007755,0.9540625322948998,-0.4922415853664958,-0.09018655748845773,-1.8234546591144185,-0.03345509870398072,-0.41682306599626007,0.3811339329570458,-1.5125142320521183,0.8142020531819623,-0.47335455664120335,-1.3107697328763344,-1.9903840609146395,-1.1319530867936225,-0.5951134925001377,-1.8314513365797962,0.8668726177913171,-1.0093574441036517,-1.42948698822746,-0.821552676330567,1.2825188986466083,-0.7448292237741724,-0.34558421224791563,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.1239602151585393,-0.9029539596397691,-0.9117489519449549,0.017194763979190567,-0.17042732150159912,-0.4029087866677147,0.670056024043756,-2.071405721803413,0.0,1.380891893092722,-0.20388188531486937,-0.5685747781257485,-1.7310334771379827,-1.2962441780898795,-1.2465755167605783,0.20000441948094835,-0.45169324564946434,-0.48186336085775555,-1.9449158457918032,-0.6386822492291873,-2.1062084062745683,-1.672652397614431,-1.5312414433679158,-0.7216625574593054,-1.27794687072714,-0.541347867610412,-1.0063580541338593,1.300696064960142,-2.455000114811568,0.0,-0.7816203377154374,-1.9359934413481574,-0.1695410791048443,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.525507472806764,-0.8294523414764856,1.5237156953237658,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.522305180680974,-0.4392260518633089
2022-12-21,-0.25429143034983864,-2.082192771356657,-0.1801813787990842,-0.8065446211982323,-1.9932646810854193,-1.0570819548255819,-1.5245348286505738,-1.958567978970385,-0.8025328531042691,-1.8967209071500997,-1.2551272689423651,0.2460618941293251,-0.9507194344464267,-1.7823952200717579,0.6043291920743704,-1.8802720211853712,-1.1327195310503557,-0.7952199280880705,0.9275716155510212,0.7678532555189068,-0.6500139565828273,-1.4412234233868824,-1.3622561463426834,-0.9352308830205944,0.17057988384731157,-1.3283853966241828,-0.6874347888552339,-1.5552479729562254,-0.8482330001699955,-1.0510606044268733,0.9540625322948998,-0.50011076720205,-0.09018655748845773,-1.8234546591144185,0.3145579001649192,-0.41682306599626007,0.3811339329570458,-1.518134916879841,0.7663040379092124,-0.47335455664120335,-1.3413796630915713,-1.9903840609146395,-1.1027741993455213,-0.5053449803214917,-1.9111725815960485,0.8230026650830663,-1.0745813600207894,-1.4348868061604565,-0.8173212018795072,1.2825188986466083,-0.7448292237741724,-0.32892793738443543,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.0632515936427935,-0.8955750544318821,-0.9375156950654208,-0.3189502551108421,-0.17042732150159912,-0.4029087866677147,0.670056024043756,-2.071405721803413,0.0,1.380891893092722,-0.20388188531486937,-0.5685747781257485,-1.7310334771379827,-1.2962441780898795,-1.4863881258439224,0.20000441948094835,-0.8017218417981586,-0.48186336085775555,-1.9449158457918032,-0.6386822492291873,-1.7234130300633852,-1.6405746699726553,-1.5312414433679158,-0.7377263000106165,-1.285584492891617,-0.541347867610412,-1.0376376516039318,1.2762164428960725,-2.585620618744913,0.0,-0.7816203377154374,-1.9246674918100903,-0.010736847746810413,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.5365982057804435,-0.8294523414764856,1.5237156953237658,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.6952548882465752,-0.2769096872546421
2022-12-20,-0.25429143034983864,-2.063364168437398,-0.0506202922573952,-0.7705418597594196,-2.017862237839513,-1.043594754115806,-1.5046937638480653,-1.958567978970385,-0.7467154484491565,-1.8967209071500997,-1.231287767608856,0.2460618941293251,-0.9964199833153873,-1.7823952200717579,0.6043291920743704,-1.8672664500861635,-1.093196017368647,-0.7952199280880705,0.17498598120087638,0.8777456875544193,-0.6500139565828273,-1.4460375527040379,-1.378969846080717,-0.8713674702884704,0.21789447516543548,-1.3283853966241828,-0.6874347888552339,-1.5552479729562254,-0.8424655139053053,-0.9981666025073489,0.7801813026721118,-0.4245666215807291,0.343665279371469,-1.6424170972215497,0.06597718668713373,-0.37208849439027386,0.3811339329570458,-1.4844108079135039,0.7184060226364616,-0.47335455664120335,-1.2801598026610972,-1.944473897367477,-1.1027741993455213,-0.37966906327138744,-1.9643200782735497,0.8418040733866026,-1.0682693681578406,-1.4323945824990734,-0.8003953040752679,1.2825188986466083,-0.4758974644430565,-0.24564656306703492,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.0936059044006667,-0.7941151078234389,-0.8730988372642561,-0.3189502551108421,-0.17042732150159912,-0.4029087866677147,0.670056024043756,-2.071405721803413,0.0,1.6552461469137434,-0.20388188531486937,-0.5685747781257485,-1.705577102474189,-1.3297153608384562,-1.58231316947726,0.20000441948094835,-0.5392003946866384,-0.48186336085775555,-2.086449358924471,-0.6386822492291873,-1.7234130300633852,-1.6405746699726553,-1.5312414433679158,-0.689535072356683,-1.285584492891617,-0.541347867610412,-0.964651924173762,1.2762164428960725,-2.585620618744913,0.0,-0.7816203377154374,-1.9246674918100903,-0.010736847746810413,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.4700538079383655,-0.8294523414764856,1.4180850003408159,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.4992452196722268,-0.2769096872546421
2022-12-19,-0.25429143034983864,-1.915873445569868,-0.0506202922573952,-0.7105372573613982,-1.9748165135198488,-1.0166203526962543,-1.4650116342430481,-1.958567978970385,-0.8264545979564599,-1.9864270897591259,-1.1955285156085924,0.8873861955409758,-0.9598595442202189,-1.753896150613622,0.6043291920743704,-1.8375394304308326,-0.9943872331643752,-0.7952199280880705,0.17498598120087638,0.8777456875544193,-0.34729631801370914,-1.3641973543123929,-1.4123972455567837,-0.8468046192376534,0.21789447516543548,-1.6250491212923783,-0.6874347888552339,-1.5552479729562254,-0.8309305413759243,-0.950798839594342,0.8149575485966699,-0.35846549416207324,0.3275966928211011,-1.6424170972215497,0.3145579001649192,-0.32735392278428765,0.3811339329570458,-1.4394453292917209,0.6705080073637116,-0.47335455664120335,-1.1883300120153863,-1.898563733820315,-1.0444164244493195,-0.2854121254838091,-1.937746329934799,0.9170097066007462,-1.0577493817195927,-1.4120414225977793,-0.7665435084667893,1.2825188986466083,-0.5095139343594458,-0.19567773847659461,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.2049050438461997,-0.701878792724854,-0.8247861939133826,-0.10381744289322098,-0.17042732150159912,-0.4029087866677147,0.670056024043756,-2.071405721803413,0.0,1.6552461469137434,-0.20388188531486937,-0.5685747781257485,-1.6801207278103951,-1.4066990811601827,-1.054725429493903,0.20000441948094835,-0.4614162622091504,-0.48186336085775555,-2.086449358924471,-0.6386822492291873,-1.7234130300633852,-1.6084969423308795,-1.5312414433679158,-0.5931526170488162,-1.2321211377402785,-0.541347867610412,-0.885708178177864,1.2664245940704446,-2.585620618744913,0.0,-0.7816203377154374,-1.9246674918100903,-0.010736847746810413,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.43123624253048637,-0.8294523414764856,0.46740874549426137,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.6087800344637746,-0.2769096872546421
2022-12-16,-0.25429143034983864,-1.8656638377851773,-0.35292949418800185,-0.7105372573613982,-1.9522687531619294,-0.9896459512767026,-1.44517056944054,-1.9009300881910047,-0.6510284690403927,-1.9864270897591259,-1.1972313371324146,0.8873861955409758,-0.9141589953512582,-1.7966447548008262,0.6043291920743704,-1.8301076755169996,-1.0833151389482196,-0.7952199280880705,0.17498598120087638,0.8861989515571504,-0.47703244882904594,-1.3545690956780818,-1.3622561463426834,-0.8664549000783069,0.19423717950637354,-1.2097199067569044,-0.6874347888552339,-1.5552479729562254,-0.7905581375230908,-0.9389568988660902,0.8497337945212281,-0.36476083963051653,0.343665279371469,-1.6424170972215497,0.3145579001649192,-0.23788477957231546,0.3811339329570458,-1.4394453292917209,0.6705080073637116,-0.47335455664120335,-1.1577200818001494,-1.967428979141058,-1.0735953118974204,-0.35722693522672594,-1.858025084918547,0.8355369372854238,-1.0619573762948917,-1.4124567932080097,-0.7580805595646697,1.2825188986466083,-0.5095139343594458,-0.17902146361311458,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.5388024621828007,-0.7590653080859764,-0.8086819794630915,0.017194763979190567,-0.17042732150159912,-0.4029087866677147,0.7289357461065398,-2.071405721803413,0.0,1.2894404751523816,-0.01680207418954026,-0.5685747781257485,-1.6546643531466014,-1.4133933177098978,-1.3425005603939162,0.4285533884794859,-0.07249559982171246,-0.48186336085775555,-2.086449358924471,-0.6386822492291873,-1.9626601401953747,-1.5764192146891038,-1.5312414433679158,-0.577088874497505,-1.229575263685453,-0.541347867610412,-0.9006032245921844,1.300696064960142,-2.585620618744913,0.0,-0.7816203377154374,-1.834059895505552,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.45896307496468564,-0.8294523414764856,1.5237156953237658,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.464655278159107,0.37235577118002305
2022-12-15,-0.25429143034983864,-1.8907686416775225,0.12212782313152246,-0.7105372573613982,-1.890774861276695,-0.9896459512767026,-1.4253295046380314,-2.073843760529146,-0.6510284690403927,-1.9864270897591259,-1.1972313371324146,0.8873861955409758,-0.8775985562560898,-1.7966447548008262,0.6043291920743704,-1.8301076755169996,-1.0833151389482196,-0.7952199280880705,0.17498598120087638,0.8861989515571504,-0.47703244882904594,-1.3545690956780818,-1.1282643500102167,-0.8910177511291238,0.2888663621426218,-1.2097199067569044,-0.6874347888552339,-1.5552479729562254,-0.7905581375230908,-0.9902719753551812,0.9540625322948998,-0.36948234873184926,0.343665279371469,-1.8958696838715658,0.14055140073046923,-0.32735392278428765,0.3811339329570458,-1.445066014119444,0.6705080073637116,-0.47335455664120335,-1.1577200818001494,-1.967428979141058,-1.0735953118974204,-0.3617153608356583,-1.8713119590879224,0.8355369372854238,-1.1208693003490804,-1.405395492834091,-0.7580805595646697,1.2825188986466083,-0.7448292237741724,-0.20400587590833463,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.629865394456419,-0.7775125711056936,-0.8183445081332662,-0.11726324365682247,-0.23727210690653752,-0.5405954357076211,0.4934168578554037,-2.0566665580367056,0.0,1.4723433110330626,-0.01680207418954026,-0.5685747781257485,-1.6292079784828075,-1.4033519628853248,-1.7262007349272666,0.4285533884794859,-0.07249559982171246,-0.48186336085775555,-2.086449358924471,-0.6386822492291873,-1.9626601401953747,-1.6084969423308795,-1.5312414433679158,-0.6092163596001272,-1.2321211377402785,-0.541347867610412,-0.9125192617236407,1.2958001405473283,-2.063138603011533,0.0,-0.7816203377154374,-1.7208004001248791,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.4423269755041662,-0.8294523414764856,1.5237156953237658,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.464655278159107,0.047723041962690484
2022-12-14,-0.02620268796559027,-1.9409782494622136,0.25168890967321145,-0.6985363368817937,-1.882575675691997,-1.0031331519864786,-1.4848526990455566,-2.073843760529146,-0.6669762989418531,-1.8923091276775248,-1.1963799263705035,0.8873861955409758,-0.8867386660298822,-1.8108942895298945,1.3102394360068546,-1.8189600431462505,-1.0339107468460838,-0.7952199280880705,0.17498598120087638,0.8861989515571504,-0.8229954643366094,-1.3473479017023482,-1.4959657442469503,-0.8959303213392874,0.2888663621426218,-1.2097199067569044,-0.6874347888552339,-1.5552479729562254,-0.7732556787290196,-0.9902719753551812,0.8845100404457849,-0.3742038578331817,-0.13839231713956082,-1.8958696838715658,0.09083525803491224,-0.37208849439027386,0.3811339329570458,-1.450686698947167,0.6705080073637116,-0.47335455664120335,-1.2189399422306235,-1.967428979141058,-1.1027741993455213,-0.28092369987487675,-1.8447382107491717,0.8042012567795305,-1.1040373220478836,-1.3975034512397118,-0.7538490851136098,1.2825188986466083,-0.5767468741922249,-0.1873496010448546,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.4882119442530128,-0.7406180450662595,-0.8247861939133826,-0.050034239838815955,-0.23727210690653752,-0.5405954357076211,0.4934168578554037,-2.0566665580367056,0.0,1.6552461469137434,-0.01680207418954026,-0.5685747781257485,-1.6292079784828075,-1.4033519628853248,-1.7262007349272666,0.4285533884794859,-0.07249559982171246,-0.48186336085775555,-2.180805034346249,-0.6386822492291873,-1.9626601401953747,-1.6084969423308795,-1.5312414433679158,-0.5931526170488162,-1.209208271246848,-0.5977780748172034,-0.9154982710065048,1.300696064960142,-2.063138603011533,0.0,-0.7816203377154374,-1.754778248739081,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.42569087604364647,-0.8294523414764856,1.5237156953237658,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.4992452196722268,-0.22280423238508684
2022-12-13,-0.02620268796559027,-1.9629449528680158,0.4244370250621291,-0.6985363368817937,-1.890774861276695,-1.043594754115806,-1.44517056944054,-2.073843760529146,-0.6350806391389318,-1.8923091276775248,-1.2125567308468133,0.28378685303589246,-0.905018885577466,-1.8678924284461667,1.3102394360068546,-1.8412553078877487,-1.004268111584802,-0.7952199280880705,0.17498598120087638,0.8861989515571504,-1.125713102905728,-1.361790289653815,-1.4959657442469503,-0.8762800404986337,0.2652090664835594,-1.2097199067569044,-0.6874347888552339,-1.5552479729562254,-0.7732556787290196,-0.9823773482030134,0.8149575485966699,-0.36633467599762737,0.5846940776269839,-1.6424170972215497,0.2648417574693622,-0.37208849439027386,0.3811339329570458,-1.450686698947167,0.6705080073637116,-0.47335455664120335,-1.1271101515849122,-1.967428979141058,-1.1319530867936225,-0.2450162950034185,-1.778303839902295,0.8042012567795305,-1.1292852894996788,-1.405395492834091,-0.7580805595646697,1.2825188986466083,-0.5767468741922249,-0.17902146361311458,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.478093840667055,-0.7203260557445709,-0.8247861939133826,-0.050034239838815955,-0.23727210690653752,-0.5405954357076211,0.4934168578554037,-2.071405721803413,0.0,1.6552461469137434,-0.01680207418954026,-0.5685747781257485,-1.6037516038190134,-1.3832692532361788,-1.294538038577247,0.8072916799627764,-0.053049566702340976,-0.48186336085775555,-1.6146709818155796,-0.6386822492291873,-1.9626601401953747,-1.6084969423308795,-1.5312414433679158,-0.6092163596001272,-1.209208271246848,-0.6353982129550652,-0.9318828220622573,1.300696064960142,-2.063138603011533,0.0,-0.7816203377154374,-1.7661041982771482,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.4645084414515256,-0.8294523414764856,1.2596389578663898,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.187935746054145,-0.006382412906864792
2022-12-12,-0.02620268796559027,-1.9347020484891273,-0.0506202922573952,-0.7465400188002109,-1.8497789333532053,-1.043594754115806,-1.4848526990455566,-2.073843760529146,-0.8264545979564599,-1.8923091276775248,-1.1929742833228594,0.28378685303589246,-1.0055600930891795,-1.8393933589880307,1.3102394360068546,-1.8375394304308326,-1.004268111584802,-0.7952199280880705,-0.4521687140909113,0.8016663115298339,-1.125713102905728,-1.361790289653815,-1.4959657442469503,-0.8762800404986337,0.24155177082449744,-1.3283853966241828,-0.6874347888552339,-1.5552479729562254,-0.7271157886114961,-0.9823773482030134,0.919286286370343,-0.4245666215807291,0.343665279371469,-1.6424170972215497,0.46370632825159114,-0.32735392278428765,0.3811339329570458,-1.4563073837748897,0.6705080073637116,-0.47335455664120335,-1.1577200818001494,-1.967428979141058,-1.0735953118974204,-0.2854121254838091,-1.7251563432247934,0.8355369372854238,-1.1713652352526707,-1.4120414225977793,-0.7665435084667893,1.2825188986466083,-0.7784456936905618,-0.24564656306703492,-1.8475994838217895,0.9345385826328235,-1.1709896698280142,1.2687387594464297,-1.5691567729406732,-0.7719783921997784,-0.8086819794630915,-0.09037164212961948,-0.23727210690653752,-0.5405954357076211,0.4934168578554037,-2.071405721803413,0.0,1.6552461469137434,-0.01680207418954026,-0.5685747781257485,-1.6037516038190134,-1.3431038339378867,-1.3425005603939162,0.559152799335793,-0.0336035335829688,-0.48186336085775555,-0.9070034161522423,-0.6386822492291873,-2.1301331172877678,-1.6084969423308795,-1.5312414433679158,-0.6092163596001272,-1.1990247750275453,-0.6353982129550652,-0.9393303452694174,1.202777576703864,-2.063138603011533,0.0,-0.7816203377154374,-1.7661041982771482,-0.000811583286933516,2.175840375426642,0.4267201938094655,-0.18347454778515954,-0.40350941009628716,-0.8294523414764856,1.2596389578663898,-0.7871505778222747,1.120118629541377,0.10154346258442397,-1.187935746054145,-0.06048786777642055
